date,"song, artist",song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity_score
5/9/20,"10,000 Hours, Dan + Shay","10,000 Hours",Dan + Shay,0.654,0.63,10.0,-4.644,1.0,0.0259,0.153,0.0,0.111,0.43,89.991,167693.0,1.8828451882845187
2/3/18,"Unforgettable, French Montana",Unforgettable,French Montana,0.726,0.769,6.0,-5.043,1.0,0.123,0.0293,0.0101,0.104,0.733,97.985,233902.0,1.8717391304347823
3/3/18,"Too Good At Goodbyes, Sam Smith",Too Good At Goodbyes,Sam Smith,0.681,0.372,5.0,-8.237,1.0,0.0432,0.64,0.0,0.169,0.476,91.873,201000.0,1.8711864406779664
2/14/15,"Rude, MAGIC!",Rude,MAGIC!,0.773,0.758,1.0,-4.993,1.0,0.0381,0.0422,0.0,0.305,0.925,144.033,224840.0,1.8615725359911408
4/9/11,"Black And Yellow, Wiz Khalifa",Black And Yellow,Wiz Khalifa,0.684,0.834,2.0,-4.524,0.0,0.0675,0.0646,0.0,0.271,0.538,164.02,217667.0,1.8292682926829271
8/16/14,"Talk Dirty, Jason Derulo",Talk Dirty,Jason Derulo,0.76,0.652,6.0,-7.321,1.0,0.232,0.0348,0.0,0.307,0.759,100.315,177685.0,1.8180300500834723
3/30/13,"Some Nights, fun.",Some Nights,fun.,0.672,0.738,0.0,-7.045,1.0,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040.0,1.815865662999421
9/12/15,"Love Me Like You Do, Ellie Goulding",Love Me Like You Do,Ellie Goulding,0.262,0.606,8.0,-6.646,1.0,0.0484,0.247,0.0,0.125,0.275,189.857,252534.0,1.8147566718995287
12/10/11,"If I Die Young, The Band Perry",If I Die Young,The Band Perry,0.606,0.497,4.0,-6.611,1.0,0.0277,0.348,0.0,0.275,0.362,130.739,222773.0,1.8129988597491449
5/31/14,"The Monster, Eminem",The Monster,Eminem,0.781,0.853,1.0,-3.68,0.0,0.0715,0.0525,0.0,0.12,0.624,110.049,250189.0,1.8125
4/14/12,"Someone Like You, Adele",Someone Like You,Adele,0.556,0.319,9.0,-8.251,1.0,0.0281,0.893,0.0,0.0996,0.294,135.187,285240.0,1.804270462633452
3/19/16,"Lean On, Major Lazer",Lean On,Major Lazer,0.723,0.809,7.0,-3.081,0.0,0.0625,0.00346,0.00123,0.565,0.274,98.007,176561.0,1.8028169014084507
7/2/11,"Just The Way You Are, Bruno Mars",Just The Way You Are,Bruno Mars,0.635,0.841,5.0,-5.379,1.0,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734.0,1.8025034770514603
6/7/14,"Billie Jean, Michael Jackson",Billie Jean,Michael Jackson,0.92,0.654,11.0,-3.051,0.0,0.0401,0.0236,0.0153,0.036,0.847,117.046,293827.0,1.7857142857142856
5/17/14,"Say Something, A Great Big World",Say Something,A Great Big World,0.407,0.147,2.0,-8.822,1.0,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400.0,1.783641160949868
11/21/20,"Roses, SAINt JHN",Roses,SAINt JHN,0.769,0.719,8.0,-5.472,1.0,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867.0,1.7812018489984591
